IDBASE;LIBELLEFRANCAIS;GENRE;ESPECE;ADRESSE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;HORAIREPLANTATION;REMARQUABLE;Latitude;Longitude
2002359.0;Cryptomeria;Cryptomeria;japonica;ILE DE BERCY / LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12-13;12-13;130.0;13.0;Mature;Inconnue;;1893-01-01;01:09:49;OUI;48,8312165730;2,4116773969
111331.0;Platane;Platanus;x hispanica;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 20 - 75 a 77;000307023 / 16-27;443.0;27.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8715363448;2,2781692170
135397.0;Platane;Platanus;x hispanica;SQUARE DES BATIGNOLLES;Arbre;Jardin;PARIS 17E ARRDT;17-10;00000206;597.0;34.0;Mature;Inconnue;;1850-01-01;01:09:49;OUI;48,8876882466;2,3164592124
2002348.0;Cedre;Cedrus;libani;GRANDE CASCADE - CARREFOUR DE LONGCHAMP;Arbre;Jardin;BOIS DE BOULOGNE;16-09;000301002;468.0;25.0;Mature;Inconnue;;1862-01-01;01:09:49;OUI;48,8633907267;2,2404811270
2002371.0;Platane;Platanus;x hispanica;SQUARE CARNOT - AVENUE DAUMESNIL / ESPLANADE DU CHATEAU DE VINCENNES;Arbre;Jardin;BOIS DE VINCENNES;12-01;12-01;607.0;30.0;Mature;Inconnue;;1918-01-01;01:00:00;OUI;48,8395251386;2,4333410919
230281.0;Saule;Salix;babylonica;QUAI DE L HORLOGE;Arbre;Alignement;PARIS 1ER ARRDT;;000402002;140.0;14.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8577490110;2,3394039403
102028.0;Marronnier;Aesculus;hippocastanum;PARC DES BUTTES CHAUMONT;Arbre;Jardin;PARIS 19E ARRDT;;G0380002;330.0;25.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8801157455;2,3856668242
313940.0;Platane;Platanus;orientalis;PARC MONCEAU;Arbre;Jardin;PARIS 8E ARRDT;08-02;00SO0222;645.0;31.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8785828156;2,3075597942
100818.0;Platane;Platanus;x hispanica;PARC DE BERCY;Arbre;Jardin;PARIS 12E ARRDT;12-36;00000373;502.0;35.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8341620932;2,3825544263
114867.0;Chêne;Quercus;ilex;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 10 - 20 a 26;000206003 / 16-32;207.0;10.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8736809161;2,2902524106
2002354.0;Hêtre;Fagus;sylvatica;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;Arbre;Jardin;BOIS DE BOULOGNE;16-17;000701004;231.0;16.0;Mature;Inconnue;''Pendula'';1868-01-01;01:09:49;OUI;48,8731110898;2,2488647889
2002366.0;Platane;Platanus;x hispanica;ROUTE DE LA CEINTURE DU LAC DAUMESNIL - LAC DAUMESNIL / PORTE DOREE;Arbre;Jardin;BOIS DE VINCENNES;12-14;12-14;490.0;26.0;Mature;Inconnue;;1860-01-01;01:09:49;OUI;48,8338187551;2,4112193582
120299.0;Platane;Platanus;x hispanica;PARC MARCEL BLEUSTEIN BLANCHET / 1 RUE DE LA BONNE;Arbre;Jardin;PARIS 18E ARRDT;Amphitheâtre;000201003;356.0;27.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8877475167;2,3435085184
2002385.0;Chêne;Quercus;ilex;PENTE DE GRAVELLE - AVENUE DE GRAVELLE / ROUTE NOUVELLE;Arbre;Jardin;BOIS DE VINCENNES;12-15;12-15;245.0;20.0;Mature;Inconnue;;1860-01-01;01:09:49;OUI;48,8183891866;2,4379185137
136527.0;Arbre aux quarante ecus;Ginkgo;biloba;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;00050045;425.0;25.0;Mature;Inconnue;;1895-01-01;01:09:21;OUI;48,8476363794;2,2527464822
120530.0;Oranger des Osages;Maclura;pomifera;SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE;Arbre;Jardin;PARIS 18E ARRDT;Talus Ronsard;000601010;212.0;16.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8856691828;2,3447140694
136448.0;Catalpa;Catalpa;speciosa;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;00030003;200.0;3.0;Mature;Inconnue;''Pulverulenta'';1700-01-01;01:09:49;OUI;48,8475818500;2,2532779036
114779.0;Noisetier de Byzance;Corylus;colurna;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 15 - 27 a 29;000105001 / 16-25;204.0;14.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8727963278;2,2875405986
2002350.0;Sequoia;Sequoiadendron;giganteum;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;Arbre;Jardin;BOIS DE BOULOGNE;16-22;000701002;511.0;28.0;Adulte;Inconnue;;1850-01-01;01:09:49;OUI;48,8694582820;2,2477134379
121945.0;Platane;Platanus;x hispanica;SQUARE EDOUARD VAILLANT / 50 AVENUE GAMBETTA;Arbre;Jardin;PARIS 20E ARRDT;20-05;000202004;500.0;28.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8656217619;2,3999411427
2002376.0;Chêne;Quercus;robur;LAC DES MINIMES - ROUTE RONDE DES MINIMES;Arbre;Jardin;BOIS DE VINCENNES;12-25;12-25;428.0;30.0;Mature;Inconnue;;1784-01-01;01:09:49;OUI;48,8341740278;2,4613206192
2002362.0;If;Taxus;baccata;ILE DE BERCY / LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12-08;12-08;105.0;5.0;Adulte;Inconnue;;1870-01-01;01:09:49;OUI;48,8320775848;2,4118171357
106714.0;Plaqueminier;Diospyros;lotus;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE;Arbre;Jardin;PARIS 7E ARRDT;Canton 09;P00905009;163.0;13.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8557930159;2,3002643184
113597.0;Chêne;Quercus;frainetto;SQUARE DE LA PLACE ADOLPHE CHERIOUX / 260 RUE DE VAUGIRARD;Arbre;Jardin;PARIS 15E ARRDT;;000106001;180.0;15.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8396441672;2,3009755850
108256.0;Noisetier de Byzance;Corylus;colurna;JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE;Arbre;Jardin;PARIS 16E ARRDT;Canton 09;000906007;263.0;20.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8615946163;2,2910362694
2002392.0;Pterocarya;Pterocarya;fraxinifolia;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;Arbre;Jardin;BOIS DE BOULOGNE;16-02;000101004;407.0;27.0;Mature;Inconnue;;1882-01-01;01:09:49;OUI;48,8631730613;2,2617385639
116216.0;Cedre;Cedrus;libani;SQUARE DE L ASPIRAND DUNAND / 20 RUE SAILLARD;Arbre;Jardin;PARIS 14E ARRDT;;10030016;155.0;20.0;Adulte;Inconnue;;1996-01-01;02:00:00;OUI;48,8319997987;2,3258300703
112503.0;Marronnier;Aesculus;hippocastanum;SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE;Arbre;Jardin;PARIS 18E ARRDT;Place Saint-Pierre;000105002;366.0;21.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8844716029;2,3431077591
125087.0;Grenadier;Punica;granatum;SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE;Arbre;Jardin;PARIS 18E ARRDT;Talus Aux Amoureux;000404003;30.0;3.0;Adulte;Inconnue;;1952-01-01;02:00:00;OUI;48,8856415357;2,3438204487
103916.0;If;Taxus;baccata;PARC DES BUTTES CHAUMONT;Arbre;Jardin;PARIS 19E ARRDT;;O1020001;140.0;13.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8770427283;2,3805001285
